"year","incident.date","incident.type","track","division","count"
"57",2009,2009-07-29,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"58",2009,2009-08-02,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"59",2009,2009-08-04,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"60",2009,2009-08-04,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"61",2009,2009-08-04,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"62",2009,2009-08-04,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"63",2009,2009-08-06,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"64",2009,2009-08-11,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"65",2009,2009-08-13,"EQUINE DEATH","Batavia Downs","Harness",1
"66",2009,2009-08-13,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"67",2009,2009-08-21,"EQUINE DEATH","Batavia Downs","Harness",1
"68",2009,2009-08-23,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"69",2009,2009-08-24,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"70",2009,2009-08-28,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"71",2009,2009-09-01,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"72",2009,2009-09-03,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"73",2009,2009-09-06,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"74",2009,2009-09-06,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"75",2009,2009-09-07,"EQUINE DEATH","Batavia Downs","Harness",1
"76",2009,2009-09-07,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"77",2009,2009-09-10,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"78",2009,2009-09-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"79",2009,2009-09-12,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"80",2009,2009-09-16,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"81",2009,2009-09-16,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"82",2009,2009-09-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"83",2009,2009-09-21,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"84",2009,2009-09-22,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"85",2009,2009-09-22,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"86",2009,2009-09-26,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"87",2009,2009-10-03,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"88",2009,2009-10-04,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"89",2009,2009-10-08,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"90",2009,2009-10-09,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"91",2009,2009-10-09,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"92",2009,2009-10-09,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"93",2009,2009-10-09,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"94",2009,2009-10-09,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"95",2009,2009-10-12,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"96",2009,2009-10-17,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"97",2009,2009-10-18,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"98",2009,2009-10-21,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"99",2009,2009-10-21,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"100",2009,2009-10-22,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"101",2009,2009-10-26,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"102",2009,2009-10-27,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"103",2009,2009-10-27,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"104",2009,2009-10-30,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"105",2009,2009-10-30,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"106",2009,2009-11-02,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"107",2009,2009-11-05,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"108",2009,2009-11-06,"EQUINE DEATH","Yonkers Raceway","Harness",1
"109",2009,2009-11-10,"EQUINE DEATH","Batavia Downs","Harness",1
"110",2009,2009-11-13,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"111",2009,2009-11-16,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"112",2009,2009-11-21,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"113",2009,2009-11-21,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"114",2009,2009-11-26,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"115",2009,2009-11-27,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"116",2009,2009-11-28,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"117",2009,2009-11-29,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"118",2009,2009-11-30,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"119",2009,2009-12-01,"EQUINE DEATH","Yonkers Raceway","Harness",1
"120",2009,2009-12-03,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"121",2009,2009-12-11,"EQUINE DEATH","Yonkers Raceway","Harness",1
"122",2009,2009-12-14,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"123",2009,2009-12-15,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"124",2009,2009-12-23,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"125",2009,2009-12-28,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"126",2009,2009-12-30,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"127",2009,2009-12-31,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"128",2010,2010-01-07,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"129",2010,2010-01-08,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"130",2010,2010-01-10,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"131",2010,2010-01-11,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"132",2010,2010-01-13,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"133",2010,2010-01-15,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"134",2010,2010-01-18,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"135",2010,2010-01-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"136",2010,2010-01-21,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"137",2010,2010-01-23,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"138",2010,2010-01-23,"EQUINE DEATH","Buffalo Raceway","Harness",1
"139",2010,2010-01-24,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"140",2010,2010-01-25,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"141",2010,2010-01-29,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"142",2010,2010-01-31,"EQUINE DEATH","Buffalo Raceway","Harness",1
"143",2010,2010-02-03,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"144",2010,2010-02-13,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"145",2010,2010-02-15,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"146",2010,2010-02-15,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"147",2010,2010-02-16,"EQUINE DEATH","Buffalo Raceway","Harness",1
